;Pedido;Categoria;Cidade;Tipo Consumidor;Genero;Linha de Produtos;Preço Unitário;Quantidade;Taxa de 5%;Total;Data;Hora;Forma de Pagamento;CMV;(%)margem bruta;Renda Bruta;Classificação
62;347-34-2234;B;São Paulo;Membro;Feminino;Esportes e viagens;55.07;9;247.815;5.204.115;03/02/2019;13:40;Débito;495.63;4.761.904.762;247.815;10
63;199-75-8169;A;Belo Horizonte;Membro;Masculino;Esportes e viagens;15.81;10;7.905;166.005;06/03/2019;12:27;Crédito;158.1;4.761.904.762;7.905;8.6
64;853-23-2453;B;São Paulo;Membro;Masculino;Saúde e beleza;75.74;4;15.148;318.108;14/02/2019;14:35;Dinheiro;302.96;4.761.904.762;15.148;7.6
65;877-22-3308;A;Belo Horizonte;Membro;Masculino;Saúde e beleza;15.87;10;7.935;166.635;13/03/2019;16:40;Dinheiro;158.7;4.761.904.762;7.935;5.8
66;838-78-4295;C;Rio de Janeiro;Normal;Feminino;Saúde e beleza;33.47;2;3.347;70.287;10/02/2019;15:43;Débito;66.94;4.761.904.762;3.347;6.7
67;109-28-2512;B;São Paulo;Membro;Feminino;Acessórios de moda;97.61;6;29.283;614.943;07/01/2019;15:01;Débito;585.66;4.761.904.762;29.283;9.9
68;232-11-3025;A;Belo Horizonte;Normal;Masculino;Esportes e viagens;78.77;10;39.385;827.085;24/01/2019;10:04;Dinheiro;787.7;4.761.904.762;39.385;6.4
69;382-03-4532;A;Belo Horizonte;Membro;Feminino;Saúde e beleza;18.33;1;0.9165;192.465;02/02/2019;18:50;Dinheiro;18.33;4.761.904.762;0.9165;4.3
70;393-65-2792;C;Rio de Janeiro;Normal;Masculino;Alimentos e bebidas;89.48;10;44.74;939.54;06/01/2019;12:46;Crédito;894.8;4.761.904.762;44.74;9.6
71;796-12-2025;C;Rio de Janeiro;Normal;Masculino;Acessórios de moda;62.12;10;31.06;652.26;11/02/2019;16:19;Dinheiro;621.2;4.761.904.762;31.06;5.9
72;510-95-6347;B;São Paulo;Membro;Feminino;Alimentos e bebidas;48.52;3;7.278;152.838;05/03/2019;18:17;Débito;145.56;4.761.904.762;7.278;4
73;841-35-6630;C;Rio de Janeiro;Normal;Feminino;Acessórios eletrônicos;75.91;6;22.773;478.233;09/03/2019;18:21;Dinheiro;455.46;4.761.904.762;22.773;8.7
74;287-21-9091;A;Belo Horizonte;Normal;Masculino;Casa e estilo de vida;74.67;9;336.015;7.056.315;22/01/2019;10:55;Débito;672.03;4.761.904.762;336.015;9.4
75;732-94-0499;C;Rio de Janeiro;Normal;Feminino;Acessórios eletrônicos;41.65;10;20.825;437.325;13/01/2019;17:04;Crédito;416.5;4.761.904.762;20.825;5.4
76;263-10-3913;C;Rio de Janeiro;Membro;Masculino;Acessórios de moda;49.04;9;22.068;463.428;09/01/2019;14:20;Crédito;441.36;4.761.904.762;22.068;8.6
77;381-20-0914;A;Belo Horizonte;Membro;Feminino;Acessórios de moda;20.01;9;90.045;1.890.945;12/01/2019;15:48;Crédito;180.09;4.761.904.762;90.045;5.7
78;829-49-1914;C;Rio de Janeiro;Membro;Feminino;Alimentos e bebidas;78.31;10;39.155;822.255;05/03/2019;16:24;Débito;783.1;4.761.904.762;39.155;6.6
79;756-01-7507;C;Rio de Janeiro;Normal;Feminino;Saúde e beleza;20.38;5;5.095;106.995;22/01/2019;18:56;Dinheiro;101.9;4.761.904.762;5.095;6
80;870-72-4431;C;Rio de Janeiro;Normal;Feminino;Saúde e beleza;99.19;6;29.757;624.897;21/01/2019;14:42;Crédito;595.14;4.761.904.762;29.757;5.5
81;847-38-7188;B;São Paulo;Normal;Feminino;Alimentos e bebidas;96.68;3;14.502;304.542;26/01/2019;19:56;Débito;290.04;4.761.904.762;14.502;6.4
82;480-63-2856;C;Rio de Janeiro;Normal;Masculino;Alimentos e bebidas;19.25;8;7.7;161.7;23/01/2019;18:37;Débito;154;4.761.904.762;7.7;6.6
83;787-56-0757;C;Rio de Janeiro;Membro;Feminino;Alimentos e bebidas;80.36;4;16.072;337.512;23/02/2019;18:45;Crédito;321.44;4.761.904.762;16.072;8.3
84;360-39-5055;C;Rio de Janeiro;Membro;Masculino;Esportes e viagens;48.91;5;122.275;2.567.775;09/03/2019;10:17;Dinheiro;244.55;4.761.904.762;122.275;6.6
85;730-50-9884;C;Rio de Janeiro;Normal;Feminino;Esportes e viagens;83.06;7;29.071;610.491;05/03/2019;14:31;Débito;581.42;4.761.904.762;29.071;4
86;362-58-8315;C;Rio de Janeiro;Normal;Masculino;Acessórios de moda;76.52;5;19.13;401.73;25/03/2019;10:23;Dinheiro;382.6;4.761.904.762;19.13;9.9
87;633-44-8566;A;Belo Horizonte;Membro;Masculino;Alimentos e bebidas;49.38;7;17.283;362.943;27/03/2019;20:35;Crédito;345.66;4.761.904.762;17.283;7.3
88;504-35-8843;A;Belo Horizonte;Normal;Masculino;Esportes e viagens;42.47;1;21.235;445.935;02/01/2019;16:57;Dinheiro;42.47;4.761.904.762;21.235;5.7
89;318-68-5053;B;São Paulo;Normal;Feminino;Saúde e beleza;76.99;6;23.097;485.037;27/02/2019;17:55;Dinheiro;461.94;4.761.904.762;23.097;6.1
90;565-80-5980;C;Rio de Janeiro;Membro;Feminino;Casa e estilo de vida;47.38;4;9.476;198.996;23/01/2019;10:25;Dinheiro;189.52;4.761.904.762;9.476;7.1
91;225-32-0908;C;Rio de Janeiro;Normal;Feminino;Esportes e viagens;44.86;10;22.43;471.03;26/01/2019;19:54;Débito;448.6;4.761.904.762;22.43;8.2
92;873-51-0671;A;Belo Horizonte;Membro;Feminino;Esportes e viagens;21.98;7;7.693;161.553;10/01/2019;16:42;Débito;153.86;4.761.904.762;7.693;5.1
93;152-08-9985;B;São Paulo;Membro;Masculino;Saúde e beleza;64.36;9;28.962;608.202;12/03/2019;12:09;Crédito;579.24;4.761.904.762;28.962;8.6
94;512-91-0811;C;Rio de Janeiro;Normal;Masculino;Saúde e beleza;89.75;1;44.875;942.375;06/02/2019;20:05;Crédito;89.75;4.761.904.762;44.875;6.6
95;594-34-4444;A;Belo Horizonte;Normal;Masculino;Acessórios eletrônicos;97.16;1;4.858;102.018;08/03/2019;20:38;Débito;97.16;4.761.904.762;4.858;7.2
96;766-85-7061;B;São Paulo;Normal;Masculino;Saúde e beleza;87.87;10;43.935;922.635;29/03/2019;10:25;Débito;878.7;4.761.904.762;43.935;5.1
97;871-39-9221;C;Rio de Janeiro;Normal;Feminino;Acessórios eletrônicos;12.45;6;3.735;78.435;09/02/2019;13:11;Dinheiro;74.7;4.761.904.762;3.735;4.1
98;865-92-6136;A;Belo Horizonte;Normal;Masculino;Alimentos e bebidas;52.75;3;79.125;1.661.625;23/03/2019;10:16;Débito;158.25;4.761.904.762;79.125;9.3
99;733-01-9107;B;São Paulo;Normal;Masculino;Casa e estilo de vida;82.7;6;24.81;521.01;05/03/2019;18:14;Dinheiro;496.2;4.761.904.762;24.81;7.4
100;163-56-7055;C;Rio de Janeiro;Membro;Masculino;Acessórios de moda;48.71;1;24.355;511.455;26/03/2019;19:20;Dinheiro;48.71;4.761.904.762;24.355;4.1
101;189-98-2939;C;Rio de Janeiro;Normal;Masculino;Acessórios de moda;78.55;9;353.475;7.422.975;01/03/2019;13:22;Dinheiro;706.95;4.761.904.762;353.475;7.2
102;551-21-3069;C;Rio de Janeiro;Normal;Feminino;Acessórios eletrônicos;23.07;9;103.815;2.180.115;01/02/2019;11:27;Dinheiro;207.63;4.761.904.762;103.815;4.9
103;212-62-1842;A;Belo Horizonte;Normal;Masculino;Alimentos e bebidas;58.26;6;17.478;367.038;28/03/2019;16:44;Dinheiro;349.56;4.761.904.762;17.478;9.9
104;716-39-1409;B;São Paulo;Normal;Masculino;Saúde e beleza;30.35;7;106.225;2.230.725;19/03/2019;18:19;Dinheiro;212.45;4.761.904.762;106.225;8
105;704-48-3927;A;Belo Horizonte;Membro;Masculino;Acessórios eletrônicos;88.67;10;44.335;931.035;12/01/2019;14:50;Débito;886.7;4.761.904.762;44.335;7.3
106;628-34-3388;C;Rio de Janeiro;Normal;Masculino;Acessórios de moda;27.38;6;8.214;172.494;05/01/2019;20:54;Crédito;164.28;4.761.904.762;8.214;7.9
107;630-74-5166;A;Belo Horizonte;Normal;Masculino;Esportes e viagens;62.13;6;18.639;391.419;22/03/2019;20:19;Dinheiro;372.78;4.761.904.762;18.639;7.4
108;588-01-7461;C;Rio de Janeiro;Normal;Feminino;Alimentos e bebidas;33.98;9;15.291;321.111;24/03/2019;10:43;Dinheiro;305.82;4.761.904.762;15.291;4.2
109;861-77-0145;C;Rio de Janeiro;Membro;Masculino;Acessórios eletrônicos;81.97;10;40.985;860.685;03/03/2019;14:30;Dinheiro;819.7;4.761.904.762;40.985;9.2
110;479-26-8945;B;São Paulo;Membro;Feminino;Esportes e viagens;16.49;2;1.649;34.629;05/02/2019;11:32;Débito;32.98;4.761.904.762;1.649;4.6
111;210-67-5886;C;Rio de Janeiro;Membro;Feminino;Saúde e beleza;98.21;3;147.315;3.093.615;05/02/2019;10:41;Crédito;294.63;4.761.904.762;147.315;7.8
112;227-78-1148;B;São Paulo;Normal;Feminino;Acessórios de moda;72.84;7;25.494;535.374;15/02/2019;12:44;Dinheiro;509.88;4.761.904.762;25.494;8.4
113;645-44-1170;A;Belo Horizonte;Membro;Masculino;Casa e estilo de vida;58.07;9;261.315;5.487.615;19/01/2019;20:07;Débito;522.63;4.761.904.762;261.315;4.3
114;237-01-6122;C;Rio de Janeiro;Membro;Feminino;Casa e estilo de vida;80.79;9;363.555;7.634.655;01/02/2019;20:31;Crédito;727.11;4.761.904.762;363.555;9.5
115;225-98-1496;C;Rio de Janeiro;Normal;Feminino;Acessórios de moda;27.02;3;4.053;85.113;02/03/2019;13:01;Crédito;81.06;4.761.904.762;4.053;7.1
116;291-32-1427;B;São Paulo;Membro;Masculino;Acessórios de moda;21.94;5;5.485;115.185;05/03/2019;12:29;Débito;109.7;4.761.904.762;5.485;5.3
117;659-65-8956;B;São Paulo;Membro;Masculino;Acessórios de moda;51.36;1;2.568;53.928;16/01/2019;15:26;Débito;51.36;4.761.904.762;2.568;5.2
118;642-32-2990;A;Belo Horizonte;Normal;Feminino;Alimentos e bebidas;10.96;10;5.48;115.08;02/02/2019;20:48;Débito;109.6;4.761.904.762;5.48;6
119;378-24-2715;B;São Paulo;Normal;Masculino;Casa e estilo de vida;53.44;2;5.344;112.224;20/01/2019;20:38;Débito;106.88;4.761.904.762;5.344;4.1
120;638-60-7125;A;Belo Horizonte;Normal;Feminino;Acessórios eletrônicos;99.56;8;39.824;836.304;14/02/2019;17:03;Crédito;796.48;4.761.904.762;39.824;5.2
121;659-36-1684;C;Rio de Janeiro;Membro;Masculino;Esportes e viagens;57.12;7;19.992;419.832;12/01/2019;12:02;Crédito;399.84;4.761.904.762;19.992;6.5
122;219-22-9386;B;São Paulo;Membro;Masculino;Esportes e viagens;99.96;9;44.982;944.622;09/03/2019;17:26;Crédito;899.64;4.761.904.762;44.982;4.2
123;336-78-2147;C;Rio de Janeiro;Membro;Masculino;Casa e estilo de vida;63.91;8;25.564;536.844;13/03/2019;19:52;Crédito;511.28;4.761.904.762;25.564;4.6
124;268-27-6179;B;São Paulo;Membro;Feminino;Acessórios de moda;56.47;8;22.588;474.348;09/03/2019;14:57;Débito;451.76;4.761.904.762;22.588;7.3
125;668-90-8900;A;Belo Horizonte;Normal;Feminino;Casa e estilo de vida;93.69;7;327.915;6.886.215;10/03/2019;18:44;Crédito;655.83;4.761.904.762;327.915;4.5
126;870-54-3162;A;Belo Horizonte;Normal;Feminino;Esportes e viagens;32.25;5;80.625;1.693.125;27/01/2019;13:26;Dinheiro;161.25;4.761.904.762;80.625;9
127;189-08-9157;C;Rio de Janeiro;Normal;Feminino;Acessórios de moda;31.73;9;142.785;2.998.485;08/01/2019;16:17;Crédito;285.57;4.761.904.762;142.785;5.9
128;663-86-9076;C;Rio de Janeiro;Membro;Feminino;Alimentos e bebidas;68.54;8;27.416;575.736;08/01/2019;15:57;Débito;548.32;4.761.904.762;27.416;8.5
129;549-84-7482;B;São Paulo;Normal;Feminino;Esportes e viagens;90.28;9;40.626;853.146;08/02/2019;11:15;Débito;812.52;4.761.904.762;40.626;7.2
130;191-10-6171;B;São Paulo;Normal;Feminino;Acessórios de moda;39.62;7;13.867;291.207;25/01/2019;13:18;Dinheiro;277.34;4.761.904.762;13.867;7.5
131;802-70-5316;A;Belo Horizonte;Membro;Feminino;Esportes e viagens;92.13;6;27.639;580.419;06/03/2019;20:34;Dinheiro;552.78;4.761.904.762;27.639;8.3
132;695-51-0018;B;São Paulo;Normal;Feminino;Esportes e viagens;34.84;4;6.968;146.328;10/02/2019;18:36;Dinheiro;139.36;4.761.904.762;6.968;7.4
133;590-83-4591;B;São Paulo;Membro;Masculino;Acessórios eletrônicos;87.45;6;26.235;550.935;17/02/2019;14:40;Crédito;524.7;4.761.904.762;26.235;8.8
134;483-71-1164;C;Rio de Janeiro;Normal;Feminino;Saúde e beleza;81.3;6;24.39;512.19;08/03/2019;16:43;Débito;487.8;4.761.904.762;24.39;5.3
135;597-78-7908;C;Rio de Janeiro;Normal;Masculino;Acessórios de moda;90.22;3;13.533;284.193;18/02/2019;19:39;Dinheiro;270.66;4.761.904.762;13.533;6.2
136;700-81-1757;A;Belo Horizonte;Normal;Feminino;Acessórios eletrônicos;26.31;5;65.775;1.381.275;18/01/2019;20:59;Crédito;131.55;4.761.904.762;65.775;8.8
137;354-39-5160;A;Belo Horizonte;Membro;Feminino;Casa e estilo de vida;34.42;6;10.326;216.846;18/02/2019;15:39;Dinheiro;206.52;4.761.904.762;10.326;9.8
138;241-72-9525;B;São Paulo;Normal;Masculino;Esportes e viagens;51.91;10;25.955;545.055;16/02/2019;12:21;Dinheiro;519.1;4.761.904.762;25.955;8.2
139;575-30-8091;A;Belo Horizonte;Normal;Masculino;Esportes e viagens;72.5;8;29;609;16/03/2019;19:25;Débito;580;4.761.904.762;29;9.2
140;731-81-9469;C;Rio de Janeiro;Membro;Feminino;Esportes e viagens;89.8;10;44.9;942.9;23/01/2019;13:00;Crédito;898;4.761.904.762;44.9;5.4
141;280-17-4359;C;Rio de Janeiro;Membro;Masculino;Saúde e beleza;90.5;10;45.25;950.25;25/01/2019;13:48;Dinheiro;905;4.761.904.762;45.25;8.1
142;338-65-2210;C;Rio de Janeiro;Membro;Feminino;Saúde e beleza;68.6;10;34.3;720.3;05/02/2019;19:57;Dinheiro;686;4.761.904.762;34.3;9.1
143;488-25-4221;C;Rio de Janeiro;Membro;Feminino;Alimentos e bebidas;30.41;1;15.205;319.305;22/02/2019;10:36;Crédito;30.41;4.761.904.762;15.205;8.4
144;239-10-7476;A;Belo Horizonte;Normal;Feminino;Casa e estilo de vida;77.95;6;23.385;491.085;21/01/2019;16:37;Débito;467.7;4.761.904.762;23.385;8
145;458-41-1477;C;Rio de Janeiro;Normal;Feminino;Saúde e beleza;46.26;6;13.878;291.438;08/03/2019;17:11;Crédito;277.56;4.761.904.762;13.878;9.5
146;685-64-1609;A;Belo Horizonte;Membro;Feminino;Acessórios de moda;30.14;10;15.07;316.47;10/02/2019;12:28;Débito;301.4;4.761.904.762;15.07;9.2
147;568-90-5112;C;Rio de Janeiro;Normal;Masculino;Saúde e beleza;66.14;4;13.228;277.788;19/03/2019;12:46;Crédito;264.56;4.761.904.762;13.228;5.6
148;262-47-2794;B;São Paulo;Membro;Masculino;Casa e estilo de vida;71.86;8;28.744;603.624;06/03/2019;15:07;Crédito;574.88;4.761.904.762;28.744;6.2
149;238-49-0436;A;Belo Horizonte;Normal;Masculino;Saúde e beleza;32.46;8;12.984;272.664;27/03/2019;13:48;Crédito;259.68;4.761.904.762;12.984;4.9
150;608-96-3517;B;São Paulo;Membro;Feminino;Acessórios de moda;91.54;4;18.308;384.468;23/03/2019;19:20;Crédito;366.16;4.761.904.762;18.308;4.8
151;584-86-7256;C;Rio de Janeiro;Membro;Masculino;Esportes e viagens;34.56;7;12.096;254.016;11/03/2019;16:07;Crédito;241.92;4.761.904.762;12.096;7.3
152;746-94-0204;A;Belo Horizonte;Normal;Masculino;Acessórios de moda;83.24;9;37.458;786.618;29/01/2019;11:56;Crédito;749.16;4.761.904.762;37.458;7.4
153;214-17-6927;C;Rio de Janeiro;Normal;Feminino;Alimentos e bebidas;16.48;6;4.944;103.824;07/02/2019;18:23;Débito;98.88;4.761.904.762;4.944;9.9
